"","year","minwage","new pay gap","new disp inc gap ft","new disp inc gap","new abs poverty rate","relative poverty line","new relative poverty rate","new in-work poverty rate","new social tax","social tax change","new income tax","income tax change","total tax change","new subsistence benefits","subsistence benefit change","new all benefits","total benefits change","other benefits change"
"1",2019,541,21.8345320293764,10.3497049880787,15.0879003783092,0.48,569.394285714286,17.37,6.99,343532405.0643,0.00422017716174139,143957493.9582,0.00510729485769446,0.00448214452207196,3366343.1161,-0.00813528536214392,253117246.731,-0.000108356386746777,-1.54193642742939e-07
"2",2019,542,21.8360667995662,10.3486561416893,15.0876567813798,0.48,569.394285714286,17.37,6.99,343547050.7175,0.00848360939015436,143964941.6379,0.0102810860026779,0.00901440728267744,3366065.7565,-0.016373810861154,253116969.3714,-0.000217933787368452,-1.54193642742939e-07
"3",2019,543,21.8030666877446,10.3476085573887,15.0874182873303,0.48,569.394285714286,17.37,6.99,343562023.6638,0.0128423184854825,143972387.9817,0.0154539491180259,0.0136135374410742,3365788.3969,-0.0246123363602067,253116692.0118,-0.000327511187975915,-1.54193642742939e-07
"4",2019,544,21.8282019725752,10.3465485336453,15.0871728582337,0.48,569.394285714286,17.33,6.94,343576829.5852,0.017152405690581,143979864.2743,0.0206476172145784,0.0181845475821376,3365511.0373,-0.0328508618592451,253116414.6522,-0.000437088588583379,-1.54193628532084e-07
"5",2019,545,21.8261913922024,10.3454140884204,15.0868799323956,0.48,569.394285714286,17.33,6.94,343591769.5722,0.0215015201478224,143987376.0386,0.0258659269679669,0.0227903368846398,3365233.6777,-0.0410893873582978,253116137.2926,-0.000546665989190842,-1.54193642742939e-07
"6",2019,546,21.8247480551877,10.3442771564996,15.0865900418703,0.48,569.394285714286,17.33,6.94,343606860.6902,0.0258946296913223,143995002.7233,0.0311640701959277,0.0274507044102705,3364956.3181,-0.0493279128573221,253115859.933,-0.000656243389812516,-1.54193642742939e-07
"7",2019,547,21.8263718550321,10.3431348013669,15.0863003860904,0.48,569.394285714286,17.32,6.94,343622088.708,0.030327591538537,144002787.9737,0.0365723666323277,0.0321716842159958,3364678.9585,-0.0575664383563605,253115582.5734,-0.00076582079041998,-1.54193642742939e-07
"8",2019,548,21.8250092667985,10.3419750102706,15.0860012472787,0.48,569.394285714286,17.32,6.94,343637316.5158,0.0347604922535822,144010515.2603,0.0419403964881155,0.0368807301524754,3364401.5989,-0.0658049638554132,253115305.2138,-0.000875398191013232,-1.54193628532084e-07
"9",2019,549,21.8248945442335,10.3409329319387,15.0857939573016,0.48,569.394285714286,17.32,6.94,343652884.1805,0.0392923272285515,144018353.0447,0.0473851875047018,0.0416821625950803,3364127.3557,-0.0739509216522123,253115030.9706,-0.000983744384882357,-1.54193628532084e-07
"10",2019,550,21.825241894085,10.3398946869333,15.0855946186682,0.48,569.394285714286,17.28,6.9,343668913.6586,0.0439585986882491,144026328.3937,0.0529255425812636,0.0466065524294237,3363849.9961,-0.0821894471512508,253114753.611,-0.00109332178550403,-1.54193642742939e-07
"11",2019,551,21.8227062119168,10.3388740896298,15.0854125447917,0.48,569.394285714286,17.28,6.9,343684792.1558,0.0485809187566417,144034437.9775,0.0585591485557586,0.0515275069412127,3363572.6365,-0.0904279726503034,253114476.2514,-0.00120289918611149,-1.54193642742939e-07
"12",2019,552,21.8177291330388,10.3378040079075,15.0852031909458,0.48,569.394285714286,17.28,6.9,343700900.1578,0.0532700489664109,144042577.2551,0.0642133823668019,0.0565016338814246,3363295.2769,-0.0986664981493277,253114198.8918,-0.00131247658671896,-1.54193642742939e-07
"13",2019,553,21.8127993542444,10.3367037099125,15.0849749401654,0.48,569.394285714286,17.28,6.9,343717078.7861,0.0579797388903529,144050779.9663,0.0699116825463193,0.0615032620907101,3363017.9173,-0.10690502364838,253113921.5322,-0.00142205398732642,-1.54193628532084e-07
